Cod,Nome,Partic
RRRP3,3R Petroleum,0.332
ALPA4,Alpargatas,0.229
ABEV3,Ambev,3.264
AMER3,Americanas,0.457
ASAI3,Assaí,0.679
AZUL4,Azul,0.224
B3SA3,B3,3.617
BPAN4,Banco Pan,0.126
BBSE3,BB Seguridade,0.962
BRML3,brMalls,0.363
BBDC3,Bradesco,1.169
BBDC4,Bradesco,4.789
BRAP4,Bradespar,0.282
BBAS3,Banco do Brasil,2.675
BRKM5,Braskem,0.458
BRFS3,BRF,0.912
BPAC11,BTG Pactual,1.605
CRFB3,Carrefour,0.406
CCRO3,CCR,0.781
CMIG4,Cemig,0.858
CIEL3,Cielo,0.288
COGN3,Cogna,0.232
CPLE6,Copel,0.561
CSAN3,Cosan,1.201
CPFE3,CPFL Energia,0.319
CMIN3,CSN Mineração,0.208
CVCB3,CVC,0.112
CYRE3,Cyrela,0.213
DXCO3,Dexco,0.163
ECOR3,EcoRodovias,0.106
ELET3,Eletrobras,2.418
ELET6,Eletrobras,0.622
EMBR3,Embraer,0.496
ENBR3,Energias do Brasil,0.257
ENGI11,Energisa,0.555
ENEV3,Eneva,1.241
EGIE3,Engie,0.557
EQTL3,Equatorial,1.434
EZTC3,Eztec,0.095
FLRY3,Fleury,0.254
GGBR4,Gerdau,1.346
GOAU4,Gerdau Metalúrgica,0.359
GOLL4,Gol,0.085
NTCO3,Natura,0.775
SOMA3,Soma,0.288
HAPV3,Hapvida,1.492
HYPE3,Hypera,0.887
IGTI11,Iguatemi,0.197
IRBR3,IRB Brasil,0.142
ITSA4,Itaúsa,2.138
ITUB4,Itaú,5.939
JBSS3,JBS,2.062
JHSF3,JHSF ,0.093
KLBN11,Klabin,0.801
RENT3,Localiza,2.321
LWSA3,Locaweb,0.194
LREN3,Lojas Renner,1.402
MGLU3,Magazine Luiza,0.491
MRFG3,Marfrig,0.235
CASH3,Méliuz,0.036
BEEF3,Minerva,0.167
MRVE3,MRV,0.168
MULT3,Multiplan,0.347
PCAR3,Pão de Açúcar,0.133
PETR3,Petrobras,5.067
PETR4,Petrobras,7.930
PRIO3,PetroRio,0.995
PETZ3,Petz,0.202
POSI3,Positivo,0.030
QUAL3,Qualicorp,0.160
RADL3,RaiaDrogasil,1.210
RDOR3,Rede D'Or,1.353
RAIL3,Rumo,1.141
SBSP3,Sabesp,0.808
SANB11,Santander,0.528
CSNA3,CSN,0.489
SLCE3,SLC Agrícola,0.206
SULA11,SulAmérica,0.360
SUZB3,Suzano,1.741
TAEE11,Taesa,0.464
VIVT3,Telefônica,0.951
TIMS3,TIM,0.513
TOTS3,Totvs,0.726
UGPA3,Ultrapar,0.740
USIM5,Usiminas,0.233
VALE3,Vale,12.843
VIIA3,Via,0.239
VBBR3,Vibra Energia,1.055
WEGE3,Weg,2.172
YDUQ3,YDUQS,0.226